hash_table,avg_diff,std_diff,cnt_diff,ss_diff
demo.riotlocal_iotserver-exchange_tcp_daap_94.234.170.124_daap_http://demo.riotsecure.io:7888/metrics,66921.45032515525,59340.29950047362,15.0,116475003731.61607
demo.riotlocal_iotserver-exchange_tcp_dcap_telenor.se_dcap_http://demo.riotsecure.io:7888/metrics,-1027.789778974152,10701.170500685132,3633.0,415918662198.5183
demo.riotlocal_iotserver-exchange_tcp_dict_94.234.170.98_dict_http://demo.riotsecure.io:7888/metrics,5911.64237353296,51561.07989366287,33.0,86226706726.85611
demo.riotlocal_iotserver-exchange_tcp_dict_telenor.se_dict_http://demo.riotsecure.io:7888/metrics,1313.895118561797,13171.574418991455,606.0,104961678317.10672
demo.riotlocal_iotserver-exchange_tcp_distcc_94.234.170.98_distcc_http://demo.riotsecure.io:7888/metrics,42667.657261902634,52919.713957135566,22.0,98862056108.22826
demo.riotlocal_iotserver-exchange_tcp_distcc_telenor.se_distcc_http://demo.riotsecure.io:7888/metrics,-2344.168125610205,20413.971254478234,470.0,195446485987.34686
demo.riotlocal_iotserver-exchange_tcp_distmp3_94.234.170.124_distmp3_http://demo.riotsecure.io:7888/metrics,58239.685267141875,62842.47568813902,14.0,98825350918.20688
demo.riotlocal_iotserver-exchange_tcp_eklogin_telenor.se_eklogin_http://demo.riotsecure.io:7888/metrics,411.48802532469006,7613.874964191607,1462.0,84695765484.48782
demo.riotlocal_iotserver-exchange_tcp_fax_94.234.170.98_fax_http://demo.riotsecure.io:7888/metrics,46365.794632899764,54194.90779268517,20.0,98800410821.30003
demo.riotlocal_iotserver-exchange_tcp_fido_94.234.170.124_fido_http://demo.riotsecure.io:7888/metrics,-93894.48239866893,68902.24975437035,18.0,239398969209.0828
demo.riotlocal_iotserver-exchange_tcp_fido_ownit.se_fido_http://demo.riotsecure.io:7888/metrics,263.831124319155,5807.111675499865,3812.0,128516622868.95096
demo.riotlocal_iotserver-exchange_tcp_freeciv_telenor.se_freeciv_http://demo.riotsecure.io:7888/metrics,-112625.71618350346,54485.940731423776,18.0,278790136560.8472
demo.riotlocal_iotserver-exchange_tcp_ggz_telenor.se_ggz_http://demo.riotsecure.io:7888/metrics,14372.394664171585,54763.59028903581,37.0,115608761518.5937
demo.riotlocal_iotserver-exchange_tcp_gnunet_94.234.170.124_gnunet_http://demo.riotsecure.io:7888/metrics,20602.27621157964,61286.95604620228,18.0,71493714815.72318
demo.riotlocal_iotserver-exchange_tcp_gnunet_telenor.se_gnunet_http://demo.riotsecure.io:7888/metrics,506.56303230876625,7795.074325668299,2548.0,154763829093.3481
demo.riotlocal_iotserver-exchange_tcp_gris_94.234.170.124_gris_http://demo.riotsecure.io:7888/metrics,23328.094603843158,67872.8101636191,18.0,88109812072.83891
demo.riotlocal_iotserver-exchange_tcp_gris_telenor.se_gris_http://demo.riotsecure.io:7888/metrics,663.8844326217828,9246.945949265137,1455.0,124325737953.98518
demo.riotlocal_iotserver-exchange_tcp_gsidcap_telenor.se_gsidcap_http://demo.riotsecure.io:7888/metrics,249.31913496279375,6122.3690157012,3577.0,134040646872.53673
demo.riotlocal_iotserver-exchange_tcp_gsigatekeeper_94.234.170.98_gsigatekeeper_http://demo.riotsecure.io:7888/metrics,-795.4077225587308,56513.61291648492,39.0,121388635169.58224
demo.riotlocal_iotserver-exchange_tcp_gsigatekeeper_telenor.se_gsigatekeeper_http://demo.riotsecure.io:7888/metrics,772.7102609452644,9775.968417425858,1460.0,139435986258.2826
demo.riotlocal_iotserver-exchange_tcp_hkp_telenor.se_hkp_http://demo.riotsecure.io:7888/metrics,-176.31399237157234,6583.71575545296,3748.0,162414888376.0967
demo.riotlocal_iotserver-exchange_tcp_hostmon_94.234.170.115_hostmon_http://demo.riotsecure.io:7888/metrics,67878.7681099044,65863.09668827408,18.0,156680596473.39914
demo.riotlocal_iotserver-exchange_tcp_hostmon_telenor.se_hostmon_http://demo.riotsecure.io:7888/metrics,11527.707185675357,58172.090699828485,58.0,200595057685.7801
demo.riotlocal_iotserver-exchange_tcp_hylafax_94.234.170.124_hylafax_http://demo.riotsecure.io:7888/metrics,50440.915454217364,64671.76983396888,14.0,89991694900.98508
demo.riotlocal_iotserver-exchange_tcp_iax_94.234.170.124_iax_http://demo.riotsecure.io:7888/metrics,19572.620574167795,30506.021902808432,14.0,17461250506.314873
demo.riotlocal_iotserver-exchange_tcp_iax_94.234.170.98_iax_http://demo.riotsecure.io:7888/metrics,70554.98533018827,76669.88478749522,20.0,211247272532.0897
demo.riotlocal_iotserver-exchange_tcp_icpv2_telenor.se_icpv2_http://demo.riotsecure.io:7888/metrics,149.77935944925716,4506.172180526343,5241.0,106401279659.96002
demo.riotlocal_iotserver-exchange_tcp_iprop_telenor.se_iprop_http://demo.riotsecure.io:7888/metrics,593.1408917926732,9338.820701425871,1458.0,127070174781.35574
demo.riotlocal_iotserver-exchange_tcp_ircd_telenor.se_ircd_http://demo.riotsecure.io:7888/metrics,-365.12961903609045,7513.930212500508,5170.0,291837332100.7042
demo.riotlocal_iotserver-exchange_tcp_isisd_telenor.se_isisd_http://demo.riotsecure.io:7888/metrics,-2262.167137964919,18932.10007253669,642.0,229750056804.3728
demo.riotlocal_iotserver-exchange_tcp_isns_94.234.170.98_isns_http://demo.riotsecure.io:7888/metrics,53960.35497231285,75297.9325055486,24.0,200286186520.74576
demo.riotlocal_iotserver-exchange_tcp_isns_telenor.se_isns_http://demo.riotsecure.io:7888/metrics,1016.6183489165772,11019.395377914658,600.0,72734819344.91078
demo.riotlocal_iotserver-exchange_tcp_kamanda_telenor.se_kamanda_http://demo.riotsecure.io:7888/metrics,-4151.117365511584,22264.211560149528,648.0,320714766899.8729
demo.riotlocal_iotserver-exchange_tcp_knetd_94.234.170.124_knetd_http://demo.riotsecure.io:7888/metrics,-2663.4469791650768,62892.08131370408,18.0,67369727260.07744
demo.riotlocal_iotserver-exchange_tcp_knetd_94.234.170.98_knetd_http://demo.riotsecure.io:7888/metrics,-34373.88761077477,55424.7272992889,52.0,218108255979.09265
demo.riotlocal_iotserver-exchange_tcp_mdns_94.234.170.115_mdns_http://demo.riotsecure.io:7888/metrics,56387.67557370662,51815.2623136259,18.0,102874223165.60823
demo.riotlocal_iotserver-exchange_tcp_mdns_94.234.170.123_mdns_http://demo.riotsecure.io:7888/metrics,51482.3903340896,36700.94504124986,6.0,22637415921.673588
demo.riotlocal_iotserver-exchange_tcp_mdns_telenor.se_mdns_http://demo.riotsecure.io:7888/metrics,21268.587266929007,66406.77784529563,34.0,160905380092.46982
demo.riotlocal_iotserver-exchange_tcp_mmcc_94.234.170.98_mmcc_http://demo.riotsecure.io:7888/metrics,48901.0605730772,32128.85119574853,10.0,33203504964.144627
demo.riotlocal_iotserver-exchange_tcp_mon_telenor.se_mon_http://demo.riotsecure.io:7888/metrics,1001.3032708700251,11415.296421801762,606.0,78836942055.01712
demo.riotlocal_iotserver-exchange_tcp_mtn_94.234.170.98_mtn_http://demo.riotsecure.io:7888/metrics,65512.08186100657,68336.18435588517,19.0,165601838187.28876
demo.riotlocal_iotserver-exchange_tcp_munin_94.234.170.123_munin_http://demo.riotsecure.io:7888/metrics,28524.58885512087,77652.56640196276,18.0,117154397218.15735
demo.riotlocal_iotserver-exchange_tcp_munin_94.234.170.99_munin_http://demo.riotsecure.io:7888/metrics,-79322.25288690461,61302.60524846597,18.0,177142516429.21008
demo.riotlocal_iotserver-exchange_tcp_munin_telenor.se_munin_http://demo.riotsecure.io:7888/metrics,5622.3655942969835,57383.29934161562,45.0,146307588675.9135
demo.riotlocal_iotserver-exchange_tcp_nbd_telenor.se_nbd_http://demo.riotsecure.io:7888/metrics,-69.75556480810566,6463.614453887991,5570.0,232663418462.46436
demo.riotlocal_iotserver-exchange_tcp_nfs_telenor.se_nfs_http://demo.riotsecure.io:7888/metrics,451.2140180144544,8903.63273834426,2557.0,202626071780.5132
demo.riotlocal_iotserver-exchange_tcp_ninstall_telenor.se_ninstall_http://demo.riotsecure.io:7888/metrics,673.0163243387789,9637.495906586573,1450.0,134585043641.76628
demo.riotlocal_iotserver-exchange_tcp_noclog_94.234.170.115_noclog_http://demo.riotsecure.io:7888/metrics,78912.87624545893,73167.42674525715,18.0,203099386392.84372
demo.riotlocal_iotserver-exchange_tcp_nut_94.234.170.115_nut_http://demo.riotsecure.io:7888/metrics,31745.427199183086,52430.64634628637,33.0,121223606527.19412
demo.riotlocal_iotserver-exchange_tcp_nut_telenor.se_nut_http://demo.riotsecure.io:7888/metrics,-5477.683217948881,65403.290029175965,58.0,245562940537.8085
demo.riotlocal_iotserver-exchange_tcp_ospf6d_telenor.se_ospf6d_http://demo.riotsecure.io:7888/metrics,2074.3602873283626,18176.690689599884,606.0,199887218177.9708
demo.riotlocal_iotserver-exchange_tcp_ospfapi_94.234.170.98_ospfapi_http://demo.riotsecure.io:7888/metrics,22642.456447579643,59320.15605440608,33.0,129522656779.56865
demo.riotlocal_iotserver-exchange_tcp_ospfapi_telenor.se_ospfapi_http://demo.riotsecure.io:7888/metrics,-2606.49317679391,20007.298447970265,642.0,256587176932.5777
demo.riotlocal_iotserver-exchange_tcp_ospfd_telenor.se_ospfd_http://demo.riotsecure.io:7888/metrics,37377.98501547645,51366.25493348151,17.0,65966808319.1547
