hash_table,avg_diff,std_diff,cnt_diff,ss_diff
demo.riotlocal_iotserver-exchange_tcp_dict_94.234.170.98_dict_http://demo.riotsecure.io:7888/metrics,5911.64237151724,51561.07989506427,33.0,86226706730.69408
demo.riotlocal_iotserver-exchange_tcp_dict_telenor.se_dict_http://demo.riotsecure.io:7888/metrics,1305.2652658087668,13128.246758822252,610.0,104961678335.9403
demo.riotlocal_iotserver-exchange_tcp_distcc_94.234.170.98_distcc_http://demo.riotsecure.io:7888/metrics,42667.65724499659,52919.713956729094,22.0,98862056075.58577
demo.riotlocal_iotserver-exchange_tcp_distcc_telenor.se_distcc_http://demo.riotsecure.io:7888/metrics,-2344.168120791801,20413.971250543687,470.0,195446485912.00696
demo.riotlocal_iotserver-exchange_tcp_distmp3_94.234.170.124_distmp3_http://demo.riotsecure.io:7888/metrics,58239.68527141638,62842.4756886558,14.0,98825350926.02174
demo.riotlocal_iotserver-exchange_tcp_eklogin_telenor.se_eklogin_http://demo.riotsecure.io:7888/metrics,983.934541859978,11773.626099197758,612.0,84695765482.89435
demo.riotlocal_iotserver-exchange_tcp_fax_94.234.170.98_fax_http://demo.riotsecure.io:7888/metrics,46365.79462287426,54194.90779028459,20.0,98800410797.76263
demo.riotlocal_iotserver-exchange_tcp_fido_94.234.170.124_fido_http://demo.riotsecure.io:7888/metrics,-93894.48241829874,68902.24974981278,18.0,239398969264.7585
demo.riotlocal_iotserver-exchange_tcp_fido_ownit.se_fido_http://demo.riotsecure.io:7888/metrics,1155.8740907158501,11504.773068391205,933.0,123359338159.01547
demo.riotlocal_iotserver-exchange_tcp_freeciv_telenor.se_freeciv_http://demo.riotsecure.io:7888/metrics,-112625.71616212527,54485.94077071202,18.0,278790136546.95105
demo.riotlocal_iotserver-exchange_tcp_ggz_telenor.se_ggz_http://demo.riotsecure.io:7888/metrics,14372.39465672261,54763.59028700787,37.0,115608761502.67525
demo.riotlocal_iotserver-exchange_tcp_gnunet_94.234.170.124_gnunet_http://demo.riotsecure.io:7888/metrics,20602.276210043165,61286.95604654206,18.0,71493714815.29161
demo.riotlocal_iotserver-exchange_tcp_gnunet_telenor.se_gnunet_http://demo.riotsecure.io:7888/metrics,2117.7195055915713,15914.565963736877,612.0,154750060724.43466
demo.riotlocal_iotserver-exchange_tcp_gris_94.234.170.124_gris_http://demo.riotsecure.io:7888/metrics,23328.09459928672,67872.81016385836,18.0,88109812069.5645
demo.riotlocal_iotserver-exchange_tcp_gris_telenor.se_gris_http://demo.riotsecure.io:7888/metrics,1602.419915202081,14267.766143853121,611.0,124177186151.30179
demo.riotlocal_iotserver-exchange_tcp_gsidcap_telenor.se_gsidcap_http://demo.riotsecure.io:7888/metrics,1406.672547932711,13543.1866548414,694.0,127108610855.32942
demo.riotlocal_iotserver-exchange_tcp_gsigatekeeper_94.234.170.98_gsigatekeeper_http://demo.riotsecure.io:7888/metrics,-795.4077159380303,56513.61291551912,39.0,121388635165.02338
demo.riotlocal_iotserver-exchange_tcp_gsigatekeeper_telenor.se_gsigatekeeper_http://demo.riotsecure.io:7888/metrics,1863.7111264742318,15099.631572406413,612.0,139307317458.81558
demo.riotlocal_iotserver-exchange_tcp_hkp_telenor.se_hkp_http://demo.riotsecure.io:7888/metrics,-680.9012523879665,13473.265652555841,869.0,157567074748.40524
demo.riotlocal_iotserver-exchange_tcp_hostmon_94.234.170.115_hostmon_http://demo.riotsecure.io:7888/metrics,67878.76811491119,65863.09668991335,18.0,156680596489.30475
demo.riotlocal_iotserver-exchange_tcp_hostmon_telenor.se_hostmon_http://demo.riotsecure.io:7888/metrics,11527.707197209882,58172.09069357122,58.0,200595057659.7084
demo.riotlocal_iotserver-exchange_tcp_hylafax_94.234.170.124_hylafax_http://demo.riotsecure.io:7888/metrics,50440.915477718634,64671.76983896404,14.0,89991694942.57616
demo.riotlocal_iotserver-exchange_tcp_iax_94.234.170.124_iax_http://demo.riotsecure.io:7888/metrics,19572.62061025415,30506.021902136465,14.0,17461250525.558422
demo.riotlocal_iotserver-exchange_tcp_iax_94.234.170.98_iax_http://demo.riotsecure.io:7888/metrics,70554.98532546758,76669.88478878056,20.0,211247272522.5117
demo.riotlocal_iotserver-exchange_tcp_icpv2_telenor.se_icpv2_http://demo.riotsecure.io:7888/metrics,359.691950440121,6581.047685133208,2362.0,102255355419.64217
demo.riotlocal_iotserver-exchange_tcp_iprop_telenor.se_iprop_http://demo.riotsecure.io:7888/metrics,1414.4128955860094,14421.19345968671,612.0,127070174778.74042
demo.riotlocal_iotserver-exchange_tcp_ircd_telenor.se_ircd_http://demo.riotsecure.io:7888/metrics,-774.7364312525532,11038.265139146337,2291.0,279021151037.98254
demo.riotlocal_iotserver-exchange_tcp_isisd_telenor.se_isisd_http://demo.riotsecure.io:7888/metrics,-2248.138194630697,18873.30459417499,646.0,229750056790.1303
demo.riotlocal_iotserver-exchange_tcp_isns_94.234.170.98_isns_http://demo.riotsecure.io:7888/metrics,53960.354963491365,75297.93251089532,24.0,200286186516.4167
demo.riotlocal_iotserver-exchange_tcp_isns_telenor.se_isns_http://demo.riotsecure.io:7888/metrics,1009.8746117625352,10982.785991708122,604.0,72734819336.70305
demo.riotlocal_iotserver-exchange_tcp_kamanda_telenor.se_kamanda_http://demo.riotsecure.io:7888/metrics,-4125.611270133481,22195.706152538944,652.0,320714767023.33527
demo.riotlocal_iotserver-exchange_tcp_knetd_94.234.170.124_knetd_http://demo.riotsecure.io:7888/metrics,-2663.4470021327343,62892.08134616536,18.0,67369727331.69261
demo.riotlocal_iotserver-exchange_tcp_knetd_94.234.170.98_knetd_http://demo.riotsecure.io:7888/metrics,-34373.88760486016,55424.7272994321,52.0,218108255958.75827
demo.riotlocal_iotserver-exchange_tcp_mdns_94.234.170.115_mdns_http://demo.riotsecure.io:7888/metrics,56387.675587654114,51815.262310754035,18.0,102874223188.86166
demo.riotlocal_iotserver-exchange_tcp_mdns_94.234.170.123_mdns_http://demo.riotsecure.io:7888/metrics,51482.39031008879,36700.94504264375,6.0,22637415907.35773
demo.riotlocal_iotserver-exchange_tcp_mdns_telenor.se_mdns_http://demo.riotsecure.io:7888/metrics,21268.58726935527,66406.77785009216,34.0,160905380117.0013
demo.riotlocal_iotserver-exchange_tcp_mmcc_94.234.170.98_mmcc_http://demo.riotsecure.io:7888/metrics,48901.06056408882,32128.851202345853,10.0,33203504959.169155
demo.riotlocal_iotserver-exchange_tcp_mon_telenor.se_mon_http://demo.riotsecure.io:7888/metrics,994.7265680039847,11377.746010772053,610.0,78836942132.05429
demo.riotlocal_iotserver-exchange_tcp_mtn_94.234.170.98_mtn_http://demo.riotsecure.io:7888/metrics,65512.08185578648,68336.18435433897,19.0,165601838170.4897
demo.riotlocal_iotserver-exchange_tcp_munin_94.234.170.123_munin_http://demo.riotsecure.io:7888/metrics,28524.588862723773,77652.56640140823,18.0,117154397224.50058
demo.riotlocal_iotserver-exchange_tcp_munin_94.234.170.99_munin_http://demo.riotsecure.io:7888/metrics,-79322.25287861294,61302.60524575423,18.0,177142516399.8803
demo.riotlocal_iotserver-exchange_tcp_munin_telenor.se_munin_http://demo.riotsecure.io:7888/metrics,5622.365629853142,57383.29939223532,45.0,146307588949.52124
demo.riotlocal_iotserver-exchange_tcp_nbd_telenor.se_nbd_http://demo.riotsecure.io:7888/metrics,-141.7331353554613,9299.068252263305,2691.0,232611483276.54102
demo.riotlocal_iotserver-exchange_tcp_nfs_telenor.se_nfs_http://demo.riotsecure.io:7888/metrics,1887.5663341612092,18210.717244021755,612.0,202626071794.72852
demo.riotlocal_iotserver-exchange_tcp_ninstall_telenor.se_ninstall_http://demo.riotsecure.io:7888/metrics,1544.241412242556,14792.660469196575,611.0,133481914194.64369
demo.riotlocal_iotserver-exchange_tcp_noclog_94.234.170.115_noclog_http://demo.riotsecure.io:7888/metrics,78912.87622288862,73167.42674425036,18.0,203099386326.2201
demo.riotlocal_iotserver-exchange_tcp_nut_94.234.170.115_nut_http://demo.riotsecure.io:7888/metrics,31745.42719480485,52430.646346091846,33.0,121223606517.3682
demo.riotlocal_iotserver-exchange_tcp_nut_telenor.se_nut_http://demo.riotsecure.io:7888/metrics,-5477.683211606124,65403.29003002464,58.0,245562940540.1059
demo.riotlocal_iotserver-exchange_tcp_ospf6d_telenor.se_ospf6d_http://demo.riotsecure.io:7888/metrics,2060.7355888870447,18116.898786234262,610.0,199887218134.7602
demo.riotlocal_iotserver-exchange_tcp_ospfapi_94.234.170.98_ospfapi_http://demo.riotsecure.io:7888/metrics,22642.456435275803,59320.156057842054,33.0,129522656774.22647
demo.riotlocal_iotserver-exchange_tcp_ospfapi_telenor.se_ospfapi_http://demo.riotsecure.io:7888/metrics,-2590.3288783661046,19945.16383905421,646.0,256587176952.2246
demo.riotlocal_iotserver-exchange_tcp_ospfd_telenor.se_ospfd_http://demo.riotsecure.io:7888/metrics,37377.985004088456,51366.254928371716,17.0,65966808296.283226
demo.riotlocal_iotserver-exchange_tcp_postgresql_94.234.170.115_postgresql_http://demo.riotsecure.io:7888/metrics,74888.58011653688,66988.3651758774,18.0,177235887945.6013
demo.riotlocal_iotserver-exchange_tcp_remctl_telenor.se_remctl_http://demo.riotsecure.io:7888/metrics,6361.795295212004,66349.58228659185,18.0,75567044092.09605
demo.riotlocal_iotserver-exchange_tcp_rfe_94.234.170.115_rfe_http://demo.riotsecure.io:7888/metrics,32291.50909223821,62874.94712545162,18.0,85974750662.65558
demo.riotlocal_iotserver-exchange_tcp_ripd_94.234.170.124_ripd_http://demo.riotsecure.io:7888/metrics,31595.487060321702,64072.58081223293,18.0,87758971849.4032
demo.riotlocal_iotserver-exchange_tcp_ripd_telenor.se_ripd_http://demo.riotsecure.io:7888/metrics,1406.7601589965418,13211.184315681292,610.0,106292056377.16808
demo.riotlocal_iotserver-exchange_tcp_ripngd_telenor.se_ripngd_http://demo.riotsecure.io:7888/metrics,2550.43595540778,19761.296188120483,610.0,237819886327.56796
demo.riotlocal_iotserver-exchange_tcp_sieve_telenor.se_sieve_http://demo.riotsecure.io:7888/metrics,109547.13321328165,77016.10058525199,2.0,29932628539.854595
demo.riotlocal_iotserver-exchange_tcp_sip_94.234.170.124_sip_http://demo.riotsecure.io:7888/metrics,41199.952422908376,76187.24786098459,14.0,99222562691.30307
demo.riotlocal_iotserver-exchange_tcp_sip_telenor.se_sip_http://demo.riotsecure.io:7888/metrics,-102032.64732001886,73618.11031467437,18.0,279525544971.5249
demo.riotlocal_iotserver-exchange_tcp_svn_94.234.170.124_svn_http://demo.riotsecure.io:7888/metrics,51684.947383101775,67684.31890137387,15.0,104206345141.91026
demo.riotlocal_iotserver-exchange_tcp_sysrqd_telenor.se_sysrqd_http://demo.riotsecure.io:7888/metrics,1646.2194325895202,20876.5845920972,84.0,36174070353.534325
demo.riotlocal_iotserver-exchange_tcp_tfido_ownit.se_tfido_http://demo.riotsecure.io:7888/metrics,-107514.4056247208,55259.56858510562,18.0,259979792146.66965
demo.riotlocal_iotserver-exchange_tcp_vboxd_telenor.se_vboxd_http://demo.riotsecure.io:7888/metrics,-979.3121068027067,12031.698680545474,611.0,88304683184.70175
demo.riotlocal_iotserver-exchange_tcp_venus_telenor.se_venus_http://demo.riotsecure.io:7888/metrics,-4158.000872253462,23458.146278612636,650.0,357134749410.3006
demo.riotlocal_iotserver-exchange_tcp_vopied_telenor.se_vopied_http://demo.riotsecure.io:7888/metrics,-54762.478531443885,61756.030781352645,63.0,425388585406.90906
demo.riotlocal_iotserver-exchange_tcp_x11_telenor.se_x11_http://demo.riotsecure.io:7888/metrics,-66649.74930026162,53535.820696344934,71.0,516021311641.11206
demo.riotlocal_iotserver-exchange_tcp_xinetd_telenor.se_xinetd_http://demo.riotsecure.io:7888/metrics,-6102.736962157229,27155.8459996291,657.0,483760678289.91504
demo.riotlocal_iotserver-exchange_tcp_xmms2_telenor.se_xmms2_http://demo.riotsecure.io:7888/metrics,-673.7295198448357,11294.757271474831,611.0,77818641254.03477
demo.riotlocal_iotserver-exchange_tcp_xpilot_telenor.se_xpilot_http://demo.riotsecure.io:7888/metrics,2570.9663249316973,54216.79900776616,38.0,109011242880.06444
demo.riotlocal_iotserver-exchange_tcp_xtell_94.234.170.124_xtell_http://demo.riotsecure.io:7888/metrics,59059.578559466776,79532.29691024029,14.0,131062494748.3476
demo.riotlocal_iotserver-exchange_tcp_xtell_telenor.se_xtell_http://demo.riotsecure.io:7888/metrics,201.96540241355387,4899.69230860358,294.0,7034046661.405378
demo.riotlocal_iotserver-exchange_tcp_zebra_94.234.170.124_zebra_http://demo.riotsecure.io:7888/metrics,34102.22971537378,69621.97402292889,18.0,103336044824.52174
ownit.se_fido_tcp_fido_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,984.9296421737716,13665.30687451804,934.0,174228992011.07822
ownit.se_tfido_tcp_tfido_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-96664.51793388525,62357.59293025608,18.0,234296502225.9716
telenor.se_amanda_tcp_amanda_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-41794.602335214615,53717.67977581657,59.0,270424707266.0009
telenor.se_amandaidx_tcp_amandaidx_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-2700.19044931375,19222.730027385867,652.0,240553201841.01028
telenor.se_amqp_tcp_amqp_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,265.1304204281915,8825.969588707329,1830.0,142474965000.0708
telenor.se_amqps_tcp_amqps_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,521.5746234686796,8543.877616409993,1831.0,133586055993.84543
telenor.se_asp_tcp_asp_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,71814.61166464581,52179.872193150564,17.0,131238578618.74245
telenor.se_bgpd_tcp_bgpd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,995.9566973502731,15064.413237609715,610.0,138204358257.93805
telenor.se_bpcd_tcp_bpcd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-21049.465034279823,64347.175871496926,50.0,225041392000.6989
telenor.se_bpdbm_tcp_bpdbm_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-18543.855469179154,58602.08631472482,50.0,185469750284.57474
telenor.se_bprd_tcp_bprd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-15402.493559073,58774.08964901633,68.0,247576475075.6661
telenor.se_canna_tcp_canna_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,304.91614911913064,7906.20523018112,1827.0,114139756215.71207
telenor.se_cvspserver_tcp_cvspserver_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,320.809115534924,7670.84693819749,611.0,35893554745.48752
telenor.se_dcap_tcp_dcap_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-6293.542306545452,28269.553991871537,750.0,598576647303.1721
telenor.se_dict_tcp_dict_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,2539.0280703953217,20783.876667026183,610.0,263069453918.18558
telenor.se_distcc_tcp_distcc_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-2158.360191758235,21442.963466104575,470.0,215646529867.62015
telenor.se_eklogin_tcp_eklogin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1769.2879995995997,17076.930314093246,612.0,178180771524.91452
telenor.se_freeciv_tcp_freeciv_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-134755.43282157846,66189.85415473397,18.0,401341125630.1812
telenor.se_ggz_tcp_ggz_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,5888.513165577038,55008.13158619079,37.0,110215163191.87596
