hash_table,avg_diff,std_diff
demo.riotlocal_iotserver-exchange_tcp_freeciv_telenor.se_freeciv_http://demo.riotsecure.io:7888/metrics,-112625.71616212527,54485.94077071202
demo.riotlocal_iotserver-exchange_tcp_ggz_telenor.se_ggz_http://demo.riotsecure.io:7888/metrics,14372.39465672261,54763.59028700787
demo.riotlocal_iotserver-exchange_tcp_gnunet_94.234.170.124_gnunet_http://demo.riotsecure.io:7888/metrics,20602.276210043165,61286.95604654206
demo.riotlocal_iotserver-exchange_tcp_gnunet_telenor.se_gnunet_http://demo.riotsecure.io:7888/metrics,69881.39499797318,58054.02196718886
demo.riotlocal_iotserver-exchange_tcp_gris_94.234.170.124_gris_http://demo.riotsecure.io:7888/metrics,23328.094599286716,67872.81016385836
demo.riotlocal_iotserver-exchange_tcp_gris_telenor.se_gris_http://demo.riotsecure.io:7888/metrics,58017.91458030542,61121.784934809126
demo.riotlocal_iotserver-exchange_tcp_gsidcap_telenor.se_gsidcap_http://demo.riotsecure.io:7888/metrics,61627.861522754036,64135.5098516302
demo.riotlocal_iotserver-exchange_tcp_gsigatekeeper_94.234.170.98_gsigatekeeper_http://demo.riotsecure.io:7888/metrics,-795.4077159380302,56513.61291551913
demo.riotlocal_iotserver-exchange_tcp_gsigatekeeper_telenor.se_gsigatekeeper_http://demo.riotsecure.io:7888/metrics,63753.17604017258,58691.506450456385
demo.riotlocal_iotserver-exchange_tcp_hkp_telenor.se_hkp_http://demo.riotsecure.io:7888/metrics,-15599.859279536186,54551.44809596107
demo.riotlocal_iotserver-exchange_tcp_hostmon_94.234.170.115_hostmon_http://demo.riotsecure.io:7888/metrics,67878.76811491119,65863.09668991335
demo.riotlocal_iotserver-exchange_tcp_hostmon_telenor.se_hostmon_http://demo.riotsecure.io:7888/metrics,11527.707197209884,58172.09069357122
demo.riotlocal_iotserver-exchange_tcp_hylafax_94.234.170.124_hylafax_http://demo.riotsecure.io:7888/metrics,50440.91547771863,64671.769838964035
demo.riotlocal_iotserver-exchange_tcp_iax_94.234.170.124_iax_http://demo.riotsecure.io:7888/metrics,19572.62061025415,30506.02190213646
demo.riotlocal_iotserver-exchange_tcp_iax_94.234.170.98_iax_http://demo.riotsecure.io:7888/metrics,70554.98532546758,76669.88478878056
demo.riotlocal_iotserver-exchange_tcp_icpv2_telenor.se_icpv2_http://demo.riotsecure.io:7888/metrics,59470.39767630895,55364.54351836173
demo.riotlocal_iotserver-exchange_tcp_iprop_telenor.se_iprop_http://demo.riotsecure.io:7888/metrics,55314.4015792671,53570.4725363084
