uuid,_time,dst,dstp,proto,service,src,srcp,url,_value,_value_diff,hash_table
176736,2021-12-16 10:59:38+00:00,telenor.se,bgpsim,tcp,bgpsim,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639597104.3155568,1797.706449508667,telenor.se_bgpsim_tcp_bgpsim_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
179616,2021-12-17 08:51:21+00:00,telenor.se,binkp,tcp,binkp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639731039.5354595,133935.21990275383,telenor.se_binkp_tcp_binkp_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
183068,2021-12-17 06:44:19+00:00,telenor.se,cvspserver,tcp,cvspserver,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639723415.187804,126265.04043674469,telenor.se_cvspserver_tcp_cvspserver_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
195099,2021-12-17 03:59:19+00:00,telenor.se,eklogin,tcp,eklogin,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639713519.9501889,124134.14436888695,telenor.se_eklogin_tcp_eklogin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
197866,2021-12-17 07:25:38+00:00,telenor.se,gpsd,tcp,gpsd,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639725923.7241464,44949.37963652611,telenor.se_gpsd_tcp_gpsd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
202008,2021-12-17 07:09:38+00:00,telenor.se,gsiftp,tcp,gsiftp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639724967.93841,94491.24924087524,telenor.se_gsiftp_tcp_gsiftp_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
208742,2021-12-16 13:50:39+00:00,telenor.se,iax,tcp,iax,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639662616.143217,537.8218696117401,telenor.se_iax_tcp_iax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
214160,2021-12-17 04:01:19+00:00,telenor.se,iprop,tcp,iprop,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639713647.285517,115419.99897646904,telenor.se_iprop_tcp_iprop_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
217877,2021-12-17 03:59:37+00:00,telenor.se,kx,tcp,kx,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639713567.7462559,113129.03388786316,telenor.se_kx_tcp_kx_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
227357,2021-12-16 18:51:41+00:00,telenor.se,nfs,tcp,nfs,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639680678.830536,90804.36068511009,telenor.se_nfs_tcp_nfs_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
233002,2021-12-16 10:59:38+00:00,telenor.se,puppet,tcp,puppet,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639628265.925985,33258.60260558128,telenor.se_puppet_tcp_puppet_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
235882,2021-12-17 09:41:50+00:00,telenor.se,vnetd,tcp,vnetd,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639734090.3873148,105824.46132969856,telenor.se_vnetd_tcp_vnetd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
248337,2021-12-16 23:18:42+00:00,telenor.se,zope,tcp,zope,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639696713.1899405,54655.46704244614,telenor.se_zope_tcp_zope_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
